Year,Month,Month_Code,Deaths
1999,"Jan., 1999",1999/01,94149
1999,"Feb., 1999",1999/02,84346
1999,"Mar., 1999",1999/03,91803
1999,"Apr., 1999",1999/04,78920
1999,"May, 1999",1999/05,75996
1999,"Jun., 1999",1999/06,70844
1999,"Jul., 1999",1999/07,73314
1999,"Aug., 1999",1999/08,70573
1999,"Sep., 1999",1999/09,70135
1999,"Oct., 1999",1999/10,77264
1999,"Nov., 1999",1999/11,76251
1999,"Dec., 1999",1999/12,90744
2000,"Jan., 2000",2000/01,99360
2000,"Feb., 2000",2000/02,81001
2000,"Mar., 2000",2000/03,80038
2000,"Apr., 2000",2000/04,75220
2000,"May, 2000",2000/05,75624
2000,"Jun., 2000",2000/06,70425
2000,"Jul., 2000",2000/07,72224
2000,"Aug., 2000",2000/08,72023
2000,"Sep., 2000",2000/09,71790
2000,"Oct., 2000",2000/10,77215
2000,"Nov., 2000",2000/11,78596
2000,"Dec., 2000",2000/12,88010
2001,"Jan., 2001",2001/01,89991
2001,"Feb., 2001",2001/02,77922
2001,"Mar., 2001",2001/03,84643
2001,"Apr., 2001",2001/04,78536
2001,"May, 2001",2001/05,77018
2001,"Jun., 2001",2001/06,72745
2001,"Jul., 2001",2001/07,72109
2001,"Aug., 2001",2001/08,71377
2001,"Sep., 2001",2001/09,69970
2001,"Oct., 2001",2001/10,76490
2001,"Nov., 2001",2001/11,74667
2001,"Dec., 2001",2001/12,81531
2002,"Jan., 2002",2002/01,88174
2002,"Feb., 2002",2002/02,81230
2002,"Mar., 2002",2002/03,86394
2002,"Apr., 2002",2002/04,75782
2002,"May, 2002",2002/05,75232
2002,"Jun., 2002",2002/06,69992
2002,"Jul., 2002",2002/07,71705
2002,"Aug., 2002",2002/08,70098
2002,"Sep., 2002",2002/09,69024
2002,"Oct., 2002",2002/10,74523
2002,"Nov., 2002",2002/11,76638
2002,"Dec., 2002",2002/12,84547
2003,"Jan., 2003",2003/01,85716
2003,"Feb., 2003",2003/02,76439
2003,"Mar., 2003",2003/03,80470
2003,"Apr., 2003",2003/04,74429
2003,"May, 2003",2003/05,73870
2003,"Jun., 2003",2003/06,70261
2003,"Jul., 2003",2003/07,70144
2003,"Aug., 2003",2003/08,69304
2003,"Sep., 2003",2003/09,68057
2003,"Oct., 2003",2003/10,74012
2003,"Nov., 2003",2003/11,73910
2003,"Dec., 2003",2003/12,90568
2004,"Jan., 2004",2004/01,87865
2004,"Feb., 2004",2004/02,75728
2004,"Mar., 2004",2004/03,76756
2004,"Apr., 2004",2004/04,71626
2004,"May, 2004",2004/05,70216
2004,"Jun., 2004",2004/06,66446
2004,"Jul., 2004",2004/07,67388
2004,"Aug., 2004",2004/08,66655
2004,"Sep., 2004",2004/09,64926
2004,"Oct., 2004",2004/10,70521
2004,"Nov., 2004",2004/11,70277
2004,"Dec., 2004",2004/12,77459
2005,"Jan., 2005",2005/01,82753
2005,"Feb., 2005",2005/02,76692
2005,"Mar., 2005",2005/03,82951
2005,"Apr., 2005",2005/04,72035
2005,"May, 2005",2005/05,70927
2005,"Jun., 2005",2005/06,64987
2005,"Jul., 2005",2005/07,65542
2005,"Aug., 2005",2005/08,64760
2005,"Sep., 2005",2005/09,63560
2005,"Oct., 2005",2005/10,68737
2005,"Nov., 2005",2005/11,69605
2005,"Dec., 2005",2005/12,78294
2006,"Jan., 2006",2006/01,77066
2006,"Feb., 2006",2006/02,70493
2006,"Mar., 2006",2006/03,76602
2006,"Apr., 2006",2006/04,69894
2006,"May, 2006",2006/05,68348
2006,"Jun., 2006",2006/06,63115
2006,"Jul., 2006",2006/07,65392
2006,"Aug., 2006",2006/08,63730
2006,"Sep., 2006",2006/09,62678
2006,"Oct., 2006",2006/10,68355
2006,"Nov., 2006",2006/11,67911
2006,"Dec., 2006",2006/12,74157
2007,"Jan., 2007",2007/01,76110
2007,"Feb., 2007",2007/02,70674
2007,"Mar., 2007",2007/03,73891
2007,"Apr., 2007",2007/04,68865
2007,"May, 2007",2007/05,66672
2007,"Jun., 2007",2007/06,62167
2007,"Jul., 2007",2007/07,62597
2007,"Aug., 2007",2007/08,61909
2007,"Sep., 2007",2007/09,61532
2007,"Oct., 2007",2007/10,65661
2007,"Nov., 2007",2007/11,66826
2007,"Dec., 2007",2007/12,73353
2008,"Jan., 2008",2008/01,75045
2008,"Feb., 2008",2008/02,75002
2008,"Mar., 2008",2008/03,77228
2008,"Apr., 2008",2008/04,67424
2008,"May, 2008",2008/05,66077
2008,"Jun., 2008",2008/06,61679
2008,"Jul., 2008",2008/07,61505
2008,"Aug., 2008",2008/08,61110
2008,"Sep., 2008",2008/09,59746
2008,"Oct., 2008",2008/10,64940
2008,"Nov., 2008",2008/11,65888
2008,"Dec., 2008",2008/12,72881
2009,"Jan., 2009",2009/01,73820
2009,"Feb., 2009",2009/02,66157
2009,"Mar., 2009",2009/03,70356
2009,"Apr., 2009",2009/04,65726
2009,"May, 2009",2009/05,64920
2009,"Jun., 2009",2009/06,60774
2009,"Jul., 2009",2009/07,61658
2009,"Aug., 2009",2009/08,60300
2009,"Sep., 2009",2009/09,59770
2009,"Oct., 2009",2009/10,65631
2009,"Nov., 2009",2009/11,64129
2009,"Dec., 2009",2009/12,71501
2010,"Jan., 2010",2010/01,72388
2010,"Feb., 2010",2010/02,65627
2010,"Mar., 2010",2010/03,70418
2010,"Apr., 2010",2010/04,64419
2010,"May, 2010",2010/05,64821
2010,"Jun., 2010",2010/06,60599
2010,"Jul., 2010",2010/07,61758
2010,"Aug., 2010",2010/08,60757
2010,"Sep., 2010",2010/09,60405
2010,"Oct., 2010",2010/10,64949
2010,"Nov., 2010",2010/11,65284
2010,"Dec., 2010",2010/12,73029
2011,"Jan., 2011",2011/01,75110
2011,"Feb., 2011",2011/02,67396
2011,"Mar., 2011",2011/03,70650
2011,"Apr., 2011",2011/04,65184
2011,"May, 2011",2011/05,64748
2011,"Jun., 2011",2011/06,60725
2011,"Jul., 2011",2011/07,62055
2011,"Aug., 2011",2011/08,61257
2011,"Sep., 2011",2011/09,59407
2011,"Oct., 2011",2011/10,63859
2011,"Nov., 2011",2011/11,64090
2011,"Dec., 2011",2011/12,68994
2012,"Jan., 2012",2012/01,71206
2012,"Feb., 2012",2012/02,65606
2012,"Mar., 2012",2012/03,69013
2012,"Apr., 2012",2012/04,65247
2012,"May, 2012",2012/05,64242
2012,"Jun., 2012",2012/06,60564
2012,"Jul., 2012",2012/07,62025
2012,"Aug., 2012",2012/08,61777
2012,"Sep., 2012",2012/09,60852
2012,"Oct., 2012",2012/10,65659
2012,"Nov., 2012",2012/11,67119
2012,"Dec., 2012",2012/12,74121
2013,"Jan., 2013",2013/01,81355
2013,"Feb., 2013",2013/02,68296
2013,"Mar., 2013",2013/03,72579
2013,"Apr., 2013",2013/04,65807
2013,"May, 2013",2013/05,64526
2013,"Jun., 2013",2013/06,60931
2013,"Jul., 2013",2013/07,62307
2013,"Aug., 2013",2013/08,61755
2013,"Sep., 2013",2013/09,60214
2013,"Oct., 2013",2013/10,64877
2013,"Nov., 2013",2013/11,65798
2013,"Dec., 2013",2013/12,72492
2014,"Jan., 2014",2014/01,75853
2014,"Feb., 2014",2014/02,66249
2014,"Mar., 2014",2014/03,70985
2014,"Apr., 2014",2014/04,66585
2014,"May, 2014",2014/05,66735
2014,"Jun., 2014",2014/06,61750
2014,"Jul., 2014",2014/07,63268
2014,"Aug., 2014",2014/08,62091
2014,"Sep., 2014",2014/09,62194
2014,"Oct., 2014",2014/10,66805
2014,"Nov., 2014",2014/11,68950
2014,"Dec., 2014",2014/12,76310
2015,"Jan., 2015",2015/01,82831
2015,"Feb., 2015",2015/02,71357
2015,"Mar., 2015",2015/03,75775
2015,"Apr., 2015",2015/04,69477
2015,"May, 2015",2015/05,68765
2015,"Jun., 2015",2015/06,64405
2015,"Jul., 2015",2015/07,66309
2015,"Aug., 2015",2015/08,64816
2015,"Sep., 2015",2015/09,63389
2015,"Oct., 2015",2015/10,68320
2015,"Nov., 2015",2015/11,68154
2015,"Dec., 2015",2015/12,72948
2016,"Jan., 2016",2016/01,76855
2016,"Feb., 2016",2016/02,71817
2016,"Mar., 2016",2016/03,75106
2016,"Apr., 2016",2016/04,69813
2016,"May, 2016",2016/05,68706
2016,"Jun., 2016",2016/06,64938
2016,"Jul., 2016",2016/07,65796
2016,"Aug., 2016",2016/08,66167
2016,"Sep., 2016",2016/09,64200
2016,"Oct., 2016",2016/10,69488
2016,"Nov., 2016",2016/11,70016
2016,"Dec., 2016",2016/12,77776
2017,"Jan., 2017",2017/01,81377
2017,"Feb., 2017",2017/02,72400
2017,"Mar., 2017",2017/03,77362
2017,"Apr., 2017",2017/04,70460
2017,"May, 2017",2017/05,70299
2017,"Jun., 2017",2017/06,66182
2017,"Jul., 2017",2017/07,66441
2017,"Aug., 2017",2017/08,66583
2017,"Sep., 2017",2017/09,66309
2017,"Oct., 2017",2017/10,70164
2017,"Nov., 2017",2017/11,70774
2017,"Dec., 2017",2017/12,80774
2018,"Jan., 2018",2018/01,88400
2018,"Feb., 2018",2018/02,72503
2018,"Mar., 2018",2018/03,77047
2018,"Apr., 2018",2018/04,71915
2018,"May, 2018",2018/05,70352
2018,"Jun., 2018",2018/06,66871
2018,"Jul., 2018",2018/07,68050
2018,"Aug., 2018",2018/08,67333
2018,"Sep., 2018",2018/09,65407
2018,"Oct., 2018",2018/10,71078
2018,"Nov., 2018",2018/11,72229
2018,"Dec., 2018",2018/12,77477
